RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
Grade,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,48,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,48,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,48,2,,,6,,,8,,,4,,,,,,,,,,,,,,,,
LostTime,48,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,48,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,48,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,48,1770,3514,0,1770,3529,0,1770,1697,0,1770,1745,0,,,,,,,,,,,,,,
SatFlowPerm,48,455,3514,0,443,3529,0,1075,1697,0,1276,1745,0,,,,,,,,,,,,,,
Allow RTOR,48,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,48,0,5,0,0,2,0,0,57,0,0,24,0,,,,,,,,,,,,,,
Volume,48,54,730,38,15,689,16,193,41,61,84,42,30,,,,,,,,,,,,,,
Peds,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,48,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,48,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,48,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,48,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,48,,2865,,,2057,,,1174,,,1224,,,,,,,,,,,,,,,
TravelTime,48,,43.4,,,31.2,,,17.8,,,18.5,,,,,,,,,,,,,,,
Right Channeled,48,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,48,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,48,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,48,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,48,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,48,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
DetectPhase2,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,48,1,1,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,48,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,48,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,48,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,48,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,48,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,48,59,834,0,16,766,0,210,111,0,91,79,0,,,,,,,,,,,,,,
Up Node,51,11,11,11,48,48,48,52,52,52,53,53,53,,,,,,,,,,,,,,
Dest Node,51,52,48,53,53,11,52,48,53,11,11,52,48,,,,,,,,,,,,,,
Lanes,51,1,2,0,1,2,1,2,1,1,0,2,0,,,,,,,,,,,,,,
Shared,51,0,2,,0,0,,0,0,,0,3,,,,,,,,,,,,,,,
Width,51,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,51,260,,,190,,200,135,,,45,,,,,,,,,,,,,,,,
Taper,51,25,,,25,,25,25,,,25,,,,,,,,,,,,,,,,
StLanes,51,1,,,1,,1,2,,,1,,,,,,,,,,,,,,,,
Grade,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,51,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,51,5,2,,1,6,,3,3,,4,4,,,,,,,,,,,,,,,
PermPhase1,51,2,,,6,,6,,,3,,,,,,,,,,,,,,,,,
LostTime,51,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,51,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,51,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,51,1770,3518,0,1770,3539,1583,3433,1863,1583,0,3430,0,,,,,,,,,,,,,,
SatFlowPerm,51,421,3518,0,732,3539,1583,3433,1863,1583,0,3430,0,,,,,,,,,,,,,,
Allow RTOR,51,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,51,0,5,0,0,0,174,0,0,279,0,6,0,,,,,,,,,,,,,,
Volume,51,244,603,23,13,675,160,273,47,257,24,40,6,,,,,,,,,,,,,,
Peds,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,51,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,51,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,51,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,51,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,51,,651,,,2865,,,615,,,1080,,,,,,,,,,,,,,,
TravelTime,51,,9.9,,,43.4,,,9.3,,,16.4,,,,,,,,,,,,,,,
Right Channeled,51,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,51,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,51,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,51,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,51,20,100,,20,100,20,20,100,20,20,100,,,,,,,,,,,,,,,
LastDetect,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase1,51,5,2,,1,6,6,3,3,3,4,4,,,,,,,,,,,,,,,
DetectPhase2,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase3,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase4,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
SwitchPhase,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
numDetects,51,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
DetectPos1,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectSize1,51,20,100,,20,100,20,20,100,20,20,100,,,,,,,,,,,,,,,
DetectType1,51,3,3,,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
DetectExtend1,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectQueue1,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectDelay1,51,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Exit Lanes,51,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,51,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,51,265,680,0,14,734,174,297,51,279,0,76,0,,,,,,,,,,,,,,
Up Node,56,60,60,60,11,11,11,57,57,57,58,58,58,,,,,,,,,,,,,,
Dest Node,56,57,11,58,58,60,57,11,58,60,60,57,11,,,,,,,,,,,,,,
Lanes,56,1,2,0,1,2,0,1,1,1,1,2,0,,,,,,,,,,,,,,
Shared,56,0,2,,0,2,,0,0,,0,2,,,,,,,,,,,,,,,
Width,56,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,56,340,,,325,,,150,,,90,,90,,,,,,,,,,,,,,
Taper,56,25,,,25,,,25,,,25,,25,,,,,,,,,,,,,,
StLanes,56,1,,,1,,,1,,,2,,0,,,,,,,,,,,,,,
Grade,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,56,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,56,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,56,2,,,6,,,8,,8,4,,,,,,,,,,,,,,,,
LostTime,56,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,56,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,56,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,56,1770,3522,0,1770,3465,0,1770,1863,1583,1770,3429,0,,,,,,,,,,,,,,
SatFlowPerm,56,298,3522,0,671,3465,0,976,1863,1583,1287,3429,0,,,,,,,,,,,,,,
Allow RTOR,56,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,56,0,5,0,0,17,0,0,0,220,0,20,0,,,,,,,,,,,,,,
Volume,56,303,682,26,37,708,116,109,94,202,29,104,27,,,,,,,,,,,,,,
Peds,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,56,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,56,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,56,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,56,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,56,,2655,,,1780,,,1954,,,292,,,,,,,,,,,,,,,
TravelTime,56,,40.2,,,27,,,29.6,,,4.4,,,,,,,,,,,,,,,
Right Channeled,56,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,56,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,56,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,56,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,56,20,100,,20,100,,20,100,20,20,100,,,,,,,,,,,,,,,
LastDetect,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase1,56,5,2,,1,6,,3,8,8,7,4,,,,,,,,,,,,,,,
DetectPhase2,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase3,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase4,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
SwitchPhase,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
numDetects,56,1,1,,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,
DetectPos1,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectSize1,56,20,100,,20,100,,20,100,20,20,100,,,,,,,,,,,,,,,
DetectType1,56,3,3,,3,3,,3,3,3,3,3,,,,,,,,,,,,,,,
DetectExtend1,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectQueue1,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
DetectDelay1,56,0,0,,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
Exit Lanes,56,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,56,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,56,329,769,0,40,896,0,118,102,220,32,142,0,,,,,,,,,,,,,,
Up Node,60,8,8,8,56,56,56,61,61,61,62,62,62,,,,,,,,,,,,,,
Dest Node,60,61,56,62,62,8,61,56,62,8,8,61,56,,,,,,,,,,,,,,
Lanes,60,1,2,0,1,2,0,1,1,0,1,1,0,,,,,,,,,,,,,,
Shared,60,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,60,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,60,115,,,215,,,200,,,100,,,,,,,,,,,,,,,,
Taper,60,25,,,25,,,25,,,25,,,,,,,,,,,,,,,,
StLanes,60,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,
Grade,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,60,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,60,5,2,,1,6,,,8,,,4,,,,,,,,,,,,,,,
PermPhase1,60,2,,,6,,,8,,,4,,,,,,,,,,,,,,,,
LostTime,60,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,60,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,60,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,60,1770,3522,0,1770,3507,0,1770,1665,0,1770,1775,0,,,,,,,,,,,,,,
SatFlowPerm,60,464,3522,0,475,3507,0,1324,1665,0,920,1775,0,,,,,,,,,,,,,,
Allow RTOR,60,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,60,0,4,0,0,7,0,0,97,0,0,18,0,,,,,,,,,,,,,,
Volume,60,71,792,29,23,701,42,75,58,141,41,44,20,,,,,,,,,,,,,,
Peds,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,60,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,60,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,60,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,60,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,60,,3361,,,2655,,,1388,,,922,,,,,,,,,,,,,,,
TravelTime,60,,50.9,,,40.2,,,21,,,14,,,,,,,,,,,,,,,
Right Channeled,60,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,60,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,60,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,60,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,60,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,60,5,2,,1,6,,8,8,,4,4,,,,,,,,,,,,,,,
DetectPhase2,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,60,1,1,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,60,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,60,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,60,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,60,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,60,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,60,77,893,0,25,808,0,82,216,0,45,70,0,,,,,,,,,,,,,,
Up Node,65,,7,7,8,8,,,,,66,,66,,,,,,,,,,,,,,
Dest Node,65,,8,66,66,7,,,,,7,,8,,,,,,,,,,,,,,
Lanes,65,,2,1,1,2,,,,,2,,1,,,,,,,,,,,,,,
Shared,65,,0,,0,0,,,,,0,,,,,,,,,,,,,,,,
Width,65,,12,12,12,12,,,,,12,,12,,,,,,,,,,,,,,
Storage,65,,,150,280,,,,,,80,,105,,,,,,,,,,,,,,
Taper,65,,,25,25,,,,,,25,,25,,,,,,,,,,,,,,
StLanes,65,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,
Grade,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,65,,45,,,45,,,,,45,,,,,,,,,,,,,,,,
Phase1,65,,2,,1,6,,,,,4,,,,,,,,,,,,,,,,
PermPhase1,65,,,2,6,,,,,,,,4,,,,,,,,,,,,,,
LostTime,65,,4,4,4,4,,,,,4,,4,,,,,,,,,,,,,,
Lost Time Adjust,65,,0.5,0.5,0.5,0.5,,,,,0.5,,0.5,,,,,,,,,,,,,,
IdealFlow,65,,1900,1900,1900,1900,,,,,1900,,1900,,,,,,,,,,,,,,
SatFlow,65,,3539,1583,1770,3539,,,,,3433,,1583,,,,,,,,,,,,,,
SatFlowPerm,65,,3539,1583,645,3539,,,,,3433,,1583,,,,,,,,,,,,,,
Allow RTOR,65,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
SatFlowRTOR,65,,0,27,0,0,,,,,0,,33,,,,,,,,,,,,,,
Volume,65,,600,25,35,600,,,,,50,,30,,,,,,,,,,,,,,
Peds,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Bicycles,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
PHF,65,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,,,,,,,,,,,,,
Growth,65,,100,100,100,100,,,,,100,,100,,,,,,,,,,,,,,
HeavyVehicles,65,,2,2,2,2,,,,,2,,2,,,,,,,,,,,,,,
BusStops,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Midblock,65,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
Distance,65,,1749,,,1438,,,,,775,,,,,,,,,,,,,,,,
TravelTime,65,,26.5,,,21.8,,,,,11.7,,,,,,,,,,,,,,,,
Right Channeled,65,,,0,,0,,,,,,,0,,,,,,,,,,,,,,
Alignment,65,,0,1,0,0,,,,,0,,1,,,,,,,,,,,,,,
Enter Blocked,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
HeadwayFact,65,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
Turning Speed,65,,60,9,15,60,,,,,15,,9,,,,,,,,,,,,,,
FirstDetect,65,,100,20,20,100,,,,,20,,20,,,,,,,,,,,,,,
LastDetect,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase1,65,,2,2,1,6,,,,,4,,4,,,,,,,,,,,,,,
DetectPhase2,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase3,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase4,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
SwitchPhase,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
numDetects,65,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
DetectPos1,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectSize1,65,,100,20,20,100,,,,,20,,20,,,,,,,,,,,,,,
DetectType1,65,,3,3,3,3,,,,,3,,3,,,,,,,,,,,,,,
DetectExtend1,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectQueue1,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectDelay1,65,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Exit Lanes,65,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
CBD,65,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,65,,652,27,38,652,,,,,54,,33,,,,,,,,,,,,,,
